funder.name,count,doi.funder
NSF,23,10.13039/100000001
National Key R&amp;D Program of China,11,10.13039/501100012166
None,11,
Guangdong Basic and Applied Basic Research Foundation,10,
the Fundamental Research Funds for the Central Universities,10,10.13039/501100012226
National Science and Technology Major Project of China,9,10.13039/501100018537
National Key R and D Program of China,8,10.13039/501100012166
NIH,7,10.13039/100000002
Projekt DEAL,7,
BUPT Excellent Ph.D. Students Foundation,6,10.13039/501100002766
National Key Research and Development Plan of China,6,10.13039/501100012166
National Key Research and Development Project,6,10.13039/501100012166
Science and Technology Program of Guangzhou,6,10.13039/501100004000
Sichuan Science and Technology Program,6,10.13039/100012542
Six Top Talents Program of Jiangsu,6,10.13039/501100010014
Innovation and Entrepreneurship of Jiangsu High-level Talent,5,
Jiangsu Specially Appointed Professor,5,
Key Research and Development Program of Shaanxi Province,5,10.13039/501100015401
Key-Area Research and Development Program of Guangdong Province,5,10.13039/501100015956
Research Grants Council of Hong Kong,5,
Strategic Priority Research Program of Chinese Academy of Sciences,5,10.13039/501100002367
U.S. Department of Health & Human Services | National Institutes of Health,5,10.13039/100000002
Guangxi Key Laboratory of Cryptography and Information Security,4,10.13039/501100010255
Korea government,4,10.13039/501100014188
Ministry of Science and Technology of China,4,
National Key R8D Program of China,4,10.13039/501100012166
NVIDIA Corporation,4,10.13039/100007065
Peng Cheng Laboratory Project of Guangdong Province,4,
Shenzhen Science and Technology Program,4,10.13039/501100017610
Strategic Priority Research Program of the Chinese Academy of Sciences,4,
the National Key Research and Development Program of China,4,10.13039/501100012166
Zhejiang Provincial Natural Science Foundation of China,4,10.13039/501100004731
Austrian Federal Ministry for Digital and Economic Affairs,3,
Basic Science Research Program through the National Research Foundation of Korea,3,10.13039/501100003725
DARPA,3,10.13039/100006502
DFG,3,
Graduate Innovative Research Grant Program of Guangzhou University,3,
Information Technology Research Center,3,
Institute of Information and Communications Technology Planning and Evaluation,3,
International Science and Technology Cooperation Projects of Guangdong Province,3,
Key Research and Development Plan of Shaanxi Province,3,
Lunit Inc.,3,
National Science and Technology Major Project of the Ministry of Science and Technology of China,3,
National Social Science Foundation of China,3,
Natural Science Basic Research Plan in Shaanxi Province of China,3,
Novel Coronavirus Pneumonia Emergency Key Project of Science and Technology of Hubei Province,3,
NSF grants,3,
Sichuan Distinguished Young Scholars,3,
US National Science Foundation,3,
Zhejiang Lab,3,
111 Project of China,2,
Aerospace Science and Technology Innovation Fund of China Aerospace Science and Technology Corporation,2,
ANN,2,
Application Technologies R&D Program of Guangdong Province,2,
Basic Research Program of Shenzhen,2,
Basic Science Research Program,2,
Beijing Key Lab of Networked Multimedia,2,
Bureau of International Cooperation of Chinese Academy of Sciences,2,
CAMS Innovation Fund for Medical Sciences,2,
Canada NSERC Discovery Grant,2,
Canada Technology Demonstration Program,2,
CAS Pioneer Hundred Talents Program,2,
CAST,2,
CCF-Tencent Open Fund,2,
