from,to,value
aus,chn,17
aus,eue,3
aus,jpn,4
aus,tha,1
aus,usa,4
bra,can,1
bra,chn,3
bra,deu,2
bra,esp,1
bra,eue,3
bra,prt,2
bra,usa,7
can,chn,10
can,eue,5
can,fin,2
can,gbr,4
can,kor,5
can,sgp,1
can,usa,21
chn,esp,1
chn,eue,5
chn,fin,8
chn,gbr,30
chn,jpn,8
chn,kor,11
chn,lka,10
chn,prt,1
chn,sgp,14
chn,tha,1
chn,twn,24
chn,usa,119
chn,vnm,1
chn,zaf,3
deu,eue,8
deu,gbr,1
deu,prt,1
deu,usa,9
esp,eue,10
esp,fin,1
esp,usa,4
eue,fin,3
eue,gbr,15
eue,jpn,1
eue,kor,1
eue,lka,2
eue,prt,8
eue,tha,2
eue,usa,21
eue,zaf,1
fin,usa,1
gbr,jpn,2
gbr,sgp,4
gbr,usa,20
jpn,usa,3
kor,lka,1
kor,tha,14
kor,twn,29
kor,usa,9
kor,vnm,16
kor,zaf,4
lka,usa,94
prt,usa,1
sgp,twn,1
sgp,usa,2
sgp,zaf,1
tha,twn,8
twn,usa,1
twn,vnm,16
usa,zaf,1
