from,to,value
10.13039/501100001809,10.13039/501100012166,283
10.13039/501100001809,10.13039/501100012226,148
10.13039/501100012166,10.13039/501100012166,99
10.13039/100000001,10.13039/501100008982,73
10.13039/501100001809,10.13039/501100002858,67
10.13039/501100001809,10.13039/501100004826,48
10.13039/501100001809,10.13039/501100003453,42
10.13039/501100001809,10.13039/501100004543,41
10.13039/501100001809,10.13039/501100004608,36
10.13039/501100012166,10.13039/501100012226,32
10.13039/501100001809,10.13039/501100002855,21
10.13039/100000001,10.13039/501100001809,21
10.13039/501100004826,10.13039/501100012166,21
10.13039/100000001,10.13039/100000002,20
10.13039/501100001809,10.13039/501100002367,19
10.13039/100000001,10.13039/100000001,19
10.13039/501100003621,10.13039/501100003725,19
10.13039/501100001809,10.13039/501100013290,17
10.13039/501100008982,10.13039/501100008982,17
10.13039/501100001809,10.13039/501100008081,16
10.13039/501100001809,10.13039/501100004731,16
10.13039/501100004826,10.13039/501100005089,16
10.13039/100007225,10.13039/501100004663,16
10.13039/100007225,10.13039/501100003711,16
10.13039/501100003711,10.13039/501100004663,16
10.13039/501100004826,10.13039/501100012226,15
10.13039/501100002858,10.13039/501100012166,15
10.13039/501100002322,10.13039/501100003593,15
10.13039/501100001809,10.13039/501100007129,14
10.13039/501100001809,10.13039/501100004735,13
10.13039/501100001809,10.13039/501100003392,13
10.13039/501100004608,10.13039/501100012166,13
10.13039/501100002701,10.13039/501100003725,13
10.13039/501100001809,10.13039/501100001809,12
10.13039/501100001809,10.13039/501100003399,12
10.13039/501100001809,10.13039/501100004739,12
10.13039/501100001809,10.13039/501100005089,12
10.13039/100000001,10.13039/100000015,12
10.13039/501100004543,10.13039/501100012166,12
10.13039/100006190,10.13039/501100001809,12
10.13039/501100001809,10.13039/501100013314,11
10.13039/501100003725,10.13039/501100010418,11
10.13039/501100002858,10.13039/501100012226,11
10.13039/501100000923,10.13039/501100001809,10
10.13039/501100001809,10.13039/501100018537,10
10.13039/501100001809,10.13039/501100007128,9
10.13039/501100001809,10.13039/501100009592,9
10.13039/501100001809,10.13039/501100012429,9
10.13039/501100001809,10.13039/501100003819,9
10.13039/100007219,10.13039/501100001809,9
10.13039/501100003621,10.13039/501100010418,9
10.13039/501100008081,10.13039/501100012166,9
10.13039/501100001809,10.13039/501100006606,8
10.13039/501100001809,10.13039/501100004663,8
10.13039/501100001809,10.13039/501100004761,8
10.13039/501100001809,10.13039/501100002338,8
10.13039/501100003621,10.13039/501100003621,8
10.13039/100000002,10.13039/100000054,8
10.13039/501100003453,10.13039/501100012166,8
10.13039/501100004608,10.13039/501100012226,8
10.13039/501100018537,10.13039/501100018537,8
10.13039/100009950,10.13039/100010002,8
10.13039/100009950,10.13039/501100002701,8
10.13039/100010002,10.13039/501100002701,8
10.13039/501100001809,10.13039/501100005374,7
10.13039/501100001809,10.13039/501100004750,7
10.13039/501100001809,10.13039/501100012245,7
10.13039/501100001809,10.13039/501100010877,7
10.13039/100000001,10.13039/501100012166,7
10.13039/100000001,10.13039/100000185,7
10.13039/100000001,10.13039/100000104,7
10.13039/501100012166,10.13039/501100012429,7
10.13039/100000002,10.13039/501100001809,7
10.13039/100000002,10.13039/100000070,7
10.13039/100007847,10.13039/501100001809,7
10.13039/501100001809,10.13039/501100003787,6
10.13039/501100001809,10.13039/501100005230,6
10.13039/501100001809,10.13039/501100004607,6
10.13039/501100001809,10.13039/501100012246,6
10.13039/501100001809,10.13039/501100002822,6
10.13039/501100012166,10.13039/501100013314,6
10.13039/100000002,10.13039/100001818,6
10.13039/100000002,10.13039/100004917,6
10.13039/501100003399,10.13039/501100012166,6
10.13039/501100000024,10.13039/501100000038,6
10.13039/501100000266,10.13039/501100001809,6
10.13039/501100004663,10.13039/501100012166,6
10.13039/501100004739,10.13039/501100012166,6
10.13039/501100001871,10.13039/501100008530,6
10.13039/501100001691,10.13039/501100001809,6
10.13039/501100003710,10.13039/501100003725,5
10.13039/501100001809,10.13039/501100004147,5
10.13039/501100001809,10.13039/501100008982,5
10.13039/501100001809,10.13039/501100007162,5
10.13039/501100001809,10.13039/501100004835,5
10.13039/501100001809,10.13039/501100002663,5
10.13039/100000001,10.13039/501100003725,5
10.13039/100000001,10.13039/100000028,5
10.13039/501100003052,10.13039/501100003725,5
10.13039/501100003052,10.13039/501100003621,5
10.13039/501100007128,10.13039/501100012166,5
10.13039/100000002,10.13039/100006775,5
10.13039/100000002,10.13039/100000049,5
10.13039/100000002,10.13039/100000057,5
10.13039/501100004826,10.13039/501100004826,5
10.13039/501100000038,10.13039/501100001809,5
10.13039/501100000038,10.13039/501100000196,5
10.13039/501100000038,10.13039/501100004489,5
10.13039/501100000266,10.13039/501100000287,5
10.13039/501100000266,10.13039/501100000288,5
10.13039/501100002367,10.13039/501100012166,5
10.13039/100006190,10.13039/501100012226,5
10.13039/100014103,10.13039/501100001809,5
10.13039/501100000646,10.13039/501100000646,5
10.13039/501100007129,10.13039/501100012166,5
10.13039/501100004761,10.13039/501100012166,5
10.13039/501100000923,10.13039/501100001691,4
10.13039/501100001809,10.13039/501100003725,4
10.13039/501100001809,10.13039/501100005046,4
10.13039/501100001809,10.13039/501100002766,4
10.13039/501100001809,10.13039/501100010211,4
10.13039/501100001809,10.13039/501100010031,4
10.13039/501100001809,10.13039/501100004829,4
10.13039/501100001809,10.13039/501100010880,4
10.13039/501100001809,10.13039/501100007957,4
10.13039/100000001,10.13039/100000006,4
10.13039/100000001,10.13039/100000183,4
10.13039/100000001,10.13039/501100004826,4
10.13039/100000001,10.13039/100008536,4
